orignal_value,Linear_Regression,RandomForest,MLP
1,13.0,0.0,0.0
106,24665.0,3360.0,106.0
27498,66693.0,29188.0,39624.0
0,-1129.0,166.0,15.0
18628,14708.0,22349.0,18628.0
1,29.0,1.0,1.0
107082,48432.0,128400.0,166381.0
0,-49.0,0.0,0.0
0,35.0,0.0,1.0
5,14.0,4.0,0.0
1,34.0,1.0,1.0
5,-23.0,5.0,0.0
19326,26282.0,20525.0,22860.0
16789,24416.0,9051.0,25.0
0,24.0,3.0,0.0
0,34.0,0.0,1.0
6,36.0,4.0,1.0
28077,29339.0,27492.0,63283.0
8,307.0,12241.0,1.0
10555,27772.0,11888.0,13558.0
8201,22137.0,10186.0,19961.0
0,28.0,0.0,1.0
5,32.0,3.0,1.0
1,23.0,1.0,0.0
1,33.0,1.0,1.0
14,-144.0,9.0,0.0
1,33.0,1.0,1.0
2,35.0,1.0,1.0
90419,48432.0,115033.0,166381.0
17,24.0,11.0,0.0
1,33.0,1.0,1.0
5,32.0,5.0,1.0
1,-59.0,1.0,0.0
5875,25080.0,9240.0,5875.0
1,32.0,197.0,1.0
3,35.0,2.0,1.0
127651,48432.0,115033.0,166381.0
0,31.0,1.0,1.0
44293,32925.0,34766.0,30636.0
0,9.0,2.0,0.0
16541,23086.0,16476.0,12680.0
9085,25652.0,9661.0,9085.0
0,21.0,8.0,0.0
8430,24210.0,8754.0,7.0
1,17.0,1.0,0.0
1,29.0,1.0,1.0
0,24.0,0.0,0.0
1,27.0,0.0,1.0
0,18.0,0.0,0.0
1,-395.0,513.0,0.0
0,25.0,0.0,1.0
1,31.0,1.0,1.0
0,21.0,0.0,0.0
0,72.0,346.0,0.0
22859,24296.0,26636.0,7.0
1,33.0,0.0,1.0
1,-9.0,4.0,0.0
1,27.0,1.0,1.0
2,36.0,2.0,1.0
42,24290.0,4089.0,6607.0
0,20.0,0.0,0.0
1,35.0,2.0,1.0
563,25899.0,5292.0,12928.0
25,24423.0,7709.0,25.0
5,27.0,4.0,0.0
900,24470.0,4305.0,0.0
1,34.0,1.0,1.0
31124,26238.0,23784.0,31124.0
6,29.0,3.0,1.0
1,34.0,2.0,1.0
1,32.0,2.0,1.0
1,35.0,1.0,1.0
14,24175.0,3526.0,9224.0
0,34.0,1.0,1.0
0,32.0,1.0,1.0
5,35.0,3.0,1.0
46862,90915.0,139543.0,46862.0
1,26.0,1.0,1.0
3361,37320.0,11137.0,5804.0
20289,24166.0,10796.0,7.0
8,142.0,8050.0,0.0
1,34.0,1.0,1.0
5,-5.0,3.0,0.0
16627,25056.0,15984.0,2966.0
30512,24828.0,25833.0,2570.0
5,100.0,4793.0,1.0
0,0.0,1.0,0.0
86362,26582.0,83439.0,86362.0
0,15.0,0.0,0.0
0,33.0,0.0,1.0
1,30.0,1.0,1.0
1,33.0,0.0,1.0
1,35.0,1.0,1.0
5,32.0,3.0,1.0
1,23.0,1.0,0.0
68305,31382.0,50390.0,68305.0
5507,27243.0,14225.0,19364.0
13198,24159.0,8970.0,7.0
0,-5.0,2.0,0.0
11970,24176.0,16378.0,7.0
1,35.0,1.0,1.0
55,56339.0,6949.0,14403.0
81249,29999.0,71309.0,81249.0
11,35.0,7.0,1.0
1,32.0,2.0,1.0
6414,-6904.0,10906.0,6414.0
1,21.0,1.0,0.0
10,34.0,10.0,1.0
10,34.0,11.0,1.0
5,24237.0,3811.0,7.0
80496,40405.0,73966.0,53324.0
0,34.0,0.0,1.0
5082,26163.0,9607.0,5082.0
27,29.0,17.0,1.0
7,-142.0,6.0,0.0
27608,24233.0,24166.0,6607.0
14129,37320.0,11137.0,5804.0
1,34.0,0.0,1.0
77860,28499.0,17418.0,7584.0
21356,24863.0,16555.0,16544.0
5693,25899.0,12289.0,16865.0
129559,26582.0,83439.0,86362.0
1,32.0,1.0,1.0
6607,24355.0,18009.0,6607.0
0,2.0,0.0,0.0
0,-56.0,0.0,0.0
0,17.0,2.0,0.0
1,25.0,2.0,1.0
12608,24342.0,11365.0,7.0
7969,24139.0,11248.0,7.0
5970,27269.0,15429.0,5970.0
1,35.0,2.0,1.0
1,33.0,1.0,1.0
1,27.0,1.0,1.0
10,-30.0,6.0,0.0
19611,24666.0,12159.0,106.0
1,27.0,1.0,1.0
7,-27.0,4.0,0.0
5,33.0,2.0,1.0
0,-2.0,1.0,0.0
8,-206.0,6.0,0.0
20697,26272.0,19002.0,20697.0
1,33.0,1.0,1.0
13284,27038.0,36349.0,7238.0
20698,24220.0,14554.0,6607.0
7,-3.0,280.0,0.0
1,33.0,0.0,1.0
0,35.0,2.0,1.0
0,-2.0,1.0,0.0
125508,32636.0,136616.0,44337.0
2,22.0,1.0,0.0
8,32.0,22.0,1.0
0,-29.0,1.0,0.0
19314,24274.0,16031.0,6607.0
63283,29339.0,25598.0,63283.0
1,34.0,1.0,1.0
0,15.0,1.0,0.0
1,35.0,1.0,1.0
1,30.0,1.0,1.0
0,20.0,1.0,0.0
75021,24502.0,58575.0,7705.0
1,36.0,0.0,1.0
17966,24052.0,19457.0,14.0
385,26706.0,6053.0,385.0
2,34.0,3.0,1.0
67980,22513.0,31182.0,12302.0
253,24105.0,10957.0,17851.0
1,26.0,0.0,1.0
4,35.0,2.0,1.0
5,26.0,0.0,1.0
2,28.0,1.0,1.0
1,32.0,1.0,1.0
0,26.0,0.0,1.0
0,15.0,0.0,0.0
17683,35648.0,24528.0,17683.0
6,35.0,3.0,1.0
0,22.0,0.0,0.0
64962,27180.0,95408.0,115233.0
0,32.0,0.0,1.0
1,26.0,1.0,1.0
8,-21.0,7.0,0.0
0,35.0,1.0,1.0
0,33.0,1.0,1.0
7,24364.0,2840.0,19531.0
1,34.0,0.0,1.0
0,30.0,1.0,1.0
21858,24523.0,15269.0,6.0
9313,25875.0,10183.0,9313.0
31882,24068.0,26460.0,31882.0
0,-5.0,0.0,0.0
20730,62297.0,22912.0,20831.0
0,14.0,0.0,0.0
6,37.0,7.0,1.0
16857,24992.0,31228.0,20814.0
5736,27643.0,12159.0,5736.0
5182,25899.0,12289.0,16865.0
6621,33596.0,15543.0,6621.0
1,10.0,1.0,0.0
1,36.0,0.0,1.0
2,32.0,1.0,1.0
0,14.0,0.0,0.0
11775,24259.0,7647.0,6607.0
33640,24308.0,27107.0,7.0
7584,28186.0,22822.0,7584.0
0,27.0,0.0,1.0
13016,37320.0,11137.0,5804.0
13209,24176.0,16378.0,7.0
1,34.0,1.0,1.0
0,-11.0,0.0,0.0
9,30.0,6.0,1.0
1,33.0,1.0,1.0
114923,32636.0,136616.0,44337.0
21527,24104.0,22421.0,14.0
1,29.0,1.0,1.0
2409,24572.0,6394.0,106.0
6230,30707.0,20901.0,86955.0
0,24.0,0.0,1.0
6,24450.0,5471.0,7705.0
14403,56339.0,12516.0,14403.0
15890,25356.0,11963.0,15890.0
195,24229.0,7819.0,7.0
102038,40405.0,95646.0,53324.0
3702,24979.0,8140.0,2966.0
10411,26727.0,21419.0,10411.0
1,33.0,1.0,1.0
0,30.0,1.0,1.0
1,26.0,1.0,1.0
0,27.0,0.0,1.0
0,26.0,0.0,1.0
2,27.0,1.0,1.0
0,35.0,1.0,1.0
41105,24428.0,29284.0,25.0
86059,25243.0,66860.0,63754.0
14,16.0,9.0,0.0
11236,24193.0,8615.0,6607.0
7,13.0,4.0,0.0
20831,62297.0,22912.0,20831.0
16469,23951.0,15323.0,8942.0
1,34.0,2.0,1.0
