channel_sub,like,length,category,hour,minute,second
3020000,11646.0,PT13M14S,1,0,13,14
3020000,38277.0,PT10M24S,1,0,10,24
3020000,53781.0,PT8M49S,1,0,8,49
3020000,17726.0,PT29M36S,1,0,29,36
3020000,28019.0,PT10M27S,1,0,10,27
3020000,54412.0,PT11M44S,1,0,11,44
3020000,51860.0,PT7M44S,1,0,7,44
3020000,31225.0,PT12M34S,1,0,12,34
3020000,53467.0,PT10M47S,1,0,10,47
3020000,44143.0,PT11M34S,1,0,11,34
3340000,23824.0,PT21M14S,27,0,21,14
3340000,20358.0,PT16M50S,27,0,16,50
3340000,31608.0,PT20M5S,27,0,20,5
3340000,66442.0,PT21M58S,27,0,21,58
3340000,24780.0,PT18M42S,27,0,18,42
3340000,13455.0,PT1H8M20S,27,1,8,20
3340000,6351.0,PT1H13M38S,27,1,13,38
3340000,21617.0,PT7M19S,27,0,7,19
3340000,11453.0,PT53M50S,27,0,53,50
3340000,11196.0,PT1H14M55S,27,1,14,55
111000,374.0,PT7M51S,22,0,7,51
111000,1517.0,PT9M9S,22,0,9,9
111000,288.0,PT9M17S,22,0,9,17
111000,310.0,PT11M23S,22,0,11,23
111000,287.0,PT9M10S,22,0,9,10
111000,295.0,PT7M59S,22,0,7,59
111000,126.0,PT1H23M49S,22,1,23,49
111000,432.0,PT8M33S,22,0,8,33
111000,268.0,PT7M54S,22,0,7,54
111000,439.0,PT6M32S,22,0,6,32
2250000,16166.0,PT12M40S,24,0,12,40
2250000,17019.0,PT14M59S,24,0,14,59
2250000,29670.0,PT13M1S,24,0,13,1
2250000,26949.0,PT11M48S,24,0,11,48
2250000,31907.0,PT17M45S,24,0,17,45
2250000,14363.0,PT9M31S,24,0,9,31
2250000,10282.0,PT22M8S,24,0,22,8
2250000,67290.0,PT10M32S,24,0,10,32
2250000,9904.0,PT28M26S,24,0,28,26
2250000,9494.0,PT10M1S,24,0,10,1
6560000,15738.0,PT10M56S,27,0,10,56
6560000,45528.0,PT10M7S,27,0,10,7
6560000,28226.0,PT9M30S,27,0,9,30
6560000,76456.0,PT11M9S,27,0,11,9
6560000,63947.0,PT10M8S,27,0,10,8
6560000,24433.0,PT16M38S,27,0,16,38
6560000,119688.0,PT12M42S,27,0,12,42
6560000,27322.0,PT8M41S,27,0,8,41
6560000,26519.0,PT9M11S,27,0,9,11
6560000,36157.0,PT10M35S,27,0,10,35
667000,6384.0,PT51M49S,27,0,51,49
667000,11704.0,PT46M34S,27,0,46,34
667000,10785.0,PT53M33S,27,0,53,33
667000,11869.0,PT45M10S,27,0,45,10
667000,10490.0,PT30M56S,27,0,30,56
667000,7411.0,PT29M18S,27,0,29,18
667000,5052.0,PT28M57S,27,0,28,57
667000,7140.0,PT56M37S,27,0,56,37
667000,16460.0,PT33M59S,27,0,33,59
667000,5889.0,PT25M9S,27,0,25,9
1030000,51715.0,PT8M31S,27,0,8,31
1030000,93324.0,PT14M40S,27,0,14,40
1030000,123747.0,PT12M50S,27,0,12,50
1030000,103593.0,PT10M22S,27,0,10,22
1030000,384629.0,PT14M5S,27,0,14,5
1030000,110512.0,PT12M22S,27,0,12,22
1030000,28889.0,PT5M54S,27,0,5,54
1030000,336257.0,PT10M,27,0,10,0
1030000,36978.0,PT7M30S,27,0,7,30
1030000,31732.0,PT9M28S,27,0,9,28
331000,10722.0,PT5M41S,27,0,5,41
331000,10218.0,PT1M22S,27,0,1,22
331000,22755.0,PT6M4S,27,0,6,4
331000,45239.0,PT4M1S,27,0,4,1
331000,50865.0,PT10M54S,27,0,10,54
331000,5903.0,PT1M22S,27,0,1,22
331000,38061.0,PT51S,27,0,0,51
331000,3520.0,PT2M4S,27,0,2,4
331000,17941.0,PT16M46S,27,0,16,46
331000,7280.0,PT4M31S,27,0,4,31
86300,1799.0,PT6M11S,27,0,6,11
86300,1568.0,PT8M21S,27,0,8,21
86300,1181.0,PT7M34S,27,0,7,34
86300,2645.0,PT7M51S,27,0,7,51
86300,2941.0,PT7M20S,27,0,7,20
86300,3352.0,PT6M34S,27,0,6,34
86300,5616.0,PT4M26S,27,0,4,26
86300,4132.0,PT3M15S,27,0,3,15
86300,3053.0,PT3M8S,27,0,3,8
86300,7436.0,PT3M8S,27,0,3,8
39900,1064.0,PT11M5S,22,0,11,5
39900,1674.0,PT12M27S,22,0,12,27
39900,1689.0,PT43M3S,22,0,43,3
39900,14420.0,PT15M18S,22,0,15,18
39900,7991.0,PT10M8S,22,0,10,8
39900,1611.0,PT17M53S,22,0,17,53
39900,1317.0,PT15M28S,22,0,15,28
59800,73.0,PT29M56S,22,0,29,56
59800,78.0,PT2H9M24S,22,2,9,24
59800,47.0,PT2H3M31S,24,2,3,31
59800,87.0,PT1H23M5S,22,1,23,5
59800,394.0,PT1H34M10S,22,1,34,10
59800,102.0,PT1H19M23S,22,1,19,23
59800,97.0,PT16M47S,22,0,16,47
59800,43.0,PT53M39S,22,0,53,39
59800,33.0,PT17M11S,22,0,17,11
59800,131.0,PT1H20M17S,22,1,20,17
40800,179.0,PT17M30S,28,0,17,30
40800,127.0,PT7M24S,28,0,7,24
40800,175.0,PT4M55S,28,0,4,55
40800,67.0,PT17M2S,28,0,17,2
40800,134.0,PT9M3S,28,0,9,3
40800,153.0,PT6M29S,28,0,6,29
40800,113.0,PT4M25S,28,0,4,25
40800,38.0,PT6M15S,28,0,6,15
40800,100.0,PT8M56S,28,0,8,56
40800,253.0,PT2M38S,28,0,2,38
4270,217.0,PT12M16S,28,0,12,16
4270,83.0,PT8M28S,28,0,8,28
4270,71.0,PT13M51S,28,0,13,51
4270,54.0,PT21M4S,28,0,21,4
4270,61.0,PT59S,28,0,0,59
4270,56.0,PT5M30S,28,0,5,30
4270,95.0,PT7M52S,28,0,7,52
4270,156.0,PT43M8S,28,0,43,8
4270,60.0,PT7M7S,28,0,7,7
4270,317.0,PT10M36S,28,0,10,36
151000,26.0,PT3M51S,27,0,3,51
151000,18.0,PT1M15S,27,0,1,15
151000,30.0,PT2M50S,27,0,2,50
151000,104.0,PT7M27S,27,0,7,27
151000,37.0,PT1M42S,27,0,1,42
151000,34.0,PT2M37S,27,0,2,37
151000,39.0,PT2M37S,27,0,2,37
151000,34.0,PT3M50S,27,0,3,50
151000,56.0,PT1M52S,27,0,1,52
151000,99.0,PT2M58S,27,0,2,58
71900,1241.0,PT31M39S,28,0,31,39
